run,turn,card_id,choice,resources,security,moral,progress
5,6,22,0,48,60,55,45
5,7,25,1,48,65,45,45
5,8,22,0,43,65,50,45
5,9,9,1,48,65,50,45
5,10,3,0,63,65,45,45
5,11,9,1,68,65,45,45
5,12,18,0,43,65,45,55
5,13,44,0,43,65,55,60
5,14,18,1,53,65,55,60
5,15,11,0,48,65,55,62
5,16,14,0,48,65,55,67
5,17,38,0,43,70,55,67
5,18,5,1,48,70,45,67
5,19,37,0,36,80,45,67
5,20,26,0,31,80,45,72
5,21,20,1,31,85,30,72
5,22,15,1,31,90,30,72
5,23,11,0,26,90,30,74
5,24,26,0,21,90,30,79
5,25,25,0,21,85,40,79
5,26,22,0,16,85,45,79
5,27,36,1,16,90,45,74
5,28,16,0,6,95,45,74
5,29,4,0,-9,100,45,74
5,30,25,0,-9,95,55,74
5,31,11,1,-4,95,55,74
5,32,6,0,6,95,50,74
5,33,1,1,-2,95,55,74
5,34,21,1,-2,100,40,74
5,35,4,1,8,100,40,69
5,36,3,0,23,100,35,69
5,37,36,1,23,105,35,64
5,38,40,1,23,95,45,64
5,39,24,0,18,95,50,64
5,40,1,1,10,95,55,64
5,41,3,0,25,95,50,64
5,42,25,1,25,100,40,64
5,43,36,0,25,95,40,66
5,44,41,1,30,85,40,66
5,45,14,0,30,85,40,71
5,46,5,0,25,85,45,71
5,47,44,0,25,85,55,76
5,48,43,0,45,85,45,76
5,49,41,0,35,95,45,76
5,50,9,0,30,95,45,81
5,51,9,0,25,95,45,86
5,52,44,1,30,95,45,86
5,53,12,0,25,105,45,86
5,54,16,0,15,110,45,86
5,55,20,1,15,115,30,86
5,56,15,1,15,120,30,86
5,57,13,1,20,125,30,86
5,58,37,0,8,135,30,86
5,59,22,0,3,135,35,86
5,60,1,1,-5,135,40,86
5,61,16,1,-5,135,30,86
5,62,37,0,-17,145,30,86
5,63,27,1,-17,150,25,86
5,64,11,1,-12,150,25,86
5,65,42,1,-12,155,25,86
5,66,22,0,-17,155,30,86
5,67,29,0,-27,155,35,86
5,68,1,1,-35,155,40,86
5,69,48,1,-35,160,40,76
5,70,17,0,-55,170,40,76
5,71,5,0,-60,170,45,76
5,72,2,1,-55,170,35,76
5,73,22,1,-55,175,25,76
5,74,2,0,-65,175,30,76
5,75,11,1,-60,175,30,76
5,76,19,1,-45,175,30,76
5,77,47,0,-20,175,30,76
5,78,1,0,-10,175,15,76
5,79,11,0,-15,175,15,78
5,80,7,0,-30,180,15,78
5,81,25,0,-30,175,25,78
5,82,3,0,-15,175,20,78
5,83,12,1,-10,175,20,78
5,84,22,0,-15,175,25,78
5,85,36,0,-15,170,25,80
5,86,16,1,-15,170,15,80
5,87,19,1,0,170,15,80
5,88,36,0,0,165,15,82
5,89,2,1,5,165,5,82
5,90,43,1,5,165,10,67
5,91,14,1,5,170,10,67
5,92,1,1,-3,170,15,67
5,93,20,0,-8,170,30,67
5,94,38,0,-13,175,30,67
5,95,45,1,-13,180,30,67
5,96,23,1,-3,180,25,67
5,97,23,0,-8,170,25,72
5,98,9,0,-13,170,25,77
5,99,15,0,7,165,25,77
6,0,9,0,45,50,50,55
6,1,23,0,40,40,50,60
6,2,17,0,20,50,50,60
6,3,19,0,0,50,60,70
6,4,21,0,-5,50,75,70
6,5,40,0,-5,60,65,70
6,6,41,0,-15,70,65,70
6,7,10,0,-20,75,65,70
6,8,3,1,-27,75,65,75
6,9,13,0,-27,75,65,80
6,10,16,0,-37,80,65,80
6,11,3,0,-22,80,60,80
6,12,2,0,-32,80,65,80
6,13,26,1,-22,80,60,80
6,14,25,1,-22,85,50,80
6,15,16,1,-22,85,40,80
6,16,9,0,-27,85,40,85
6,17,2,0,-37,85,45,85
6,18,23,0,-42,75,45,90
6,19,29,0,-52,75,50,90
6,20,4,1,-42,75,50,85
6,21,37,0,-54,85,50,85
6,22,41,0,-64,95,50,85
6,23,15,0,-44,90,50,85
6,24,5,0,-49,90,55,85
6,25,43,0,-29,90,45,85
6,26,12,1,-24,90,45,85
6,27,37,1,-14,90,45,85
6,28,14,1,-14,95,45,85
6,29,14,1,-14,100,45,85
6,30,13,0,-14,100,45,90
