run,turn,card_id,choice,resources,security,moral,progress
0,72,42,0,120,115,-35,122
0,73,9,1,125,115,-35,122
0,74,3,0,140,115,-40,122
0,75,15,1,140,120,-40,122
0,76,44,1,145,120,-40,122
0,77,11,0,140,120,-40,124
0,78,35,0,140,128,-55,124
0,79,36,1,140,133,-55,119
0,80,18,0,115,133,-55,129
0,81,13,0,115,133,-55,134
0,82,24,0,110,133,-50,134
0,83,22,1,110,138,-60,134
0,84,25,0,110,133,-50,134
0,85,23,1,120,133,-55,134
0,86,20,0,115,133,-40,134
0,87,16,0,105,138,-40,134
0,88,41,0,95,148,-40,134
0,89,3,0,110,148,-45,134
0,90,9,0,105,148,-45,139
0,91,2,1,110,148,-55,139
0,92,42,1,110,153,-55,139
0,93,12,1,115,153,-55,139
0,94,36,1,115,158,-55,134
0,95,28,1,125,158,-55,134
0,96,48,1,125,163,-55,124
0,97,26,0,120,163,-55,129
0,98,41,0,110,173,-55,129
0,99,13,1,115,178,-55,129
1,0,28,1,60,50,50,50
1,1,48,1,60,55,50,40
1,2,6,1,52,55,50,45
1,3,10,0,47,60,50,45
1,4,40,0,47,70,40,45
1,5,23,0,42,60,40,50
1,6,47,0,67,60,40,50
1,7,11,1,72,60,40,50
1,8,9,1,77,60,40,50
1,9,17,1,62,60,50,50
1,10,15,0,82,55,50,50
1,11,26,1,92,55,45,50
1,12,42,1,92,60,45,50
1,13,13,1,97,65,45,50
1,14,3,0,112,65,40,50
1,15,39,0,105,70,40,50
1,16,8,0,105,75,30,50
1,17,11,1,110,75,30,50
1,18,19,1,125,75,30,50
1,19,14,0,125,75,30,55
1,20,40,1,125,65,40,55
1,21,20,1,125,70,25,55
1,22,23,1,135,70,20,55
1,23,9,0,130,70,20,60
1,24,6,0,140,70,15,60
1,25,31,1,140,70,25,60
1,26,10,0,135,75,25,60
1,27,11,1,140,75,25,60
1,28,4,1,150,75,25,55
1,29,32,0,150,80,10,55
1,30,15,0,170,75,10,55
1,31,5,1,175,75,0,55
1,32,36,1,175,80,0,50
1,33,39,0,168,85,0,50
1,34,22,0,163,85,5,50
1,35,45,1,163,90,5,50
1,36,25,0,163,85,15,50
1,37,14,1,163,90,15,50
1,38,33,0,193,90,15,50
1,39,11,0,188,90,15,52
1,40,15,1,188,95,15,52
1,41,42,1,188,100,15,52
1,42,6,1,180,100,15,57
1,43,17,1,165,100,25,57
1,44,9,0,160,100,25,62
1,45,16,0,150,105,25,62
1,46,7,1,155,105,25,57
1,47,2,0,145,105,30,57
1,48,13,0,145,105,30,62
1,49,37,1,155,105,30,62
1,50,26,0,150,105,30,67
1,51,47,0,175,105,30,67
1,52,45,1,175,110,30,67
1,53,25,0,175,105,40,67
1,54,1,0,185,105,25,67
1,55,20,0,180,105,40,67
1,56,41,1,185,95,40,67
1,57,11,0,180,95,40,69
1,58,23,1,190,95,35,69
1,59,12,0,185,105,35,69
1,60,15,0,205,100,35,69
1,61,16,0,195,105,35,69
1,62,2,0,185,105,40,69
1,63,3,1,178,105,40,74
1,64,42,0,170,105,40,84
1,65,29,1,170,120,20,84
1,66,13,0,170,120,20,89
1,67,38,1,175,120,20,89
1,68,41,0,165,130,20,89
1,69,30,1,165,130,30,89
1,70,26,1,175,130,25,89
1,71,48,1,175,135,25,79
1,72,14,1,175,140,25,79
1,73,25,0,175,135,35,79
1,74,45,0,175,135,35,84
1,75,8,1,165,135,35,89
1,76,10,1,185,135,25,89
1,77,27,0,195,120,25,89
1,78,4,1,205,120,25,84
1,79,1,0,215,120,10,84
1,80,41,1,220,110,10,84
1,81,3,0,235,110,5,84
1,82,36,0,235,105,5,86
1,83,38,1,240,105,5,86
1,84,14,0,240,105,5,91
1,85,42,1,240,110,5,91
1,86,22,1,240,115,-5,91
1,87,17,1,225,115,5,91
1,88,9,1,230,115,5,91
1,89,8,1,220,115,5,96
1,90,45,1,220,120,5,96
1,91,12,1,225,120,5,96
1,92,16,1,225,120,-5,96
1,93,20,0,220,120,10,96
1,94,41,0,210,130,10,96
1,95,5,1,215,130,0,96
1,96,26,1,225,130,-5,96
1,97,7,0,210,135,-5,96
1,98,23,0,205,125,-5,101
1,99,29,0,195,125,0,101
2,0,5,1,55,50,40,50
2,1,22,0,50,50,45,50
2,2,12,1,55,50,45,50
2,3,1,0,65,50,30,50
2,4,2,0,55,50,35,50
2,5,16,0,45,55,35,50
2,6,11,1,50,55,35,50
2,7,45,0,50,55,35,55
2,8,48,1,50,60,35,45
2,9,41,0,40,70,35,45
2,10,38,1,45,70,35,45
2,11,19,0,25,70,45,55
2,12,31,1,25,70,55,55
2,13,7,0,10,75,55,55
2,14,39,0,3,80,55,55
2,15,26,1,13,80,50,55
2,16,22,1,13,85,40,55
2,17,16,1,13,85,30,55
2,18,20,0,8,85,45,55
2,19,43,1,8,85,50,40
2,20,12,0,3,95,50,40
2,21,24,1,8,95,50,40
2,22,10,1,28,95,40,40
2,23,46,0,21,95,40,45
2,24,11,0,16,95,40,47
2,25,38,0,11,100,40,47
2,26,5,0,6,100,45,47
2,27,4,0,-9,105,45,47
2,28,32,0,-9,110,30,47
2,29,1,0,1,110,15,47
2,30,33,1,1,115,15,47
2,31,23,1,11,115,10,47
2,32,41,1,16,105,10,47
2,33,40,0,16,115,0,47
2,34,6,1,8,115,0,52
2,35,24,1,13,115,0,52
2,36,3,0,28,115,-5,52
2,37,25,0,28,110,5,52
2,38,22,0,23,110,10,52
2,39,9,1,28,110,10,52
2,40,5,1,33,110,0,52
2,41,20,1,33,115,-15,52
2,42,47,1,33,115,-15,67
2,43,14,0,33,115,-15,72
2,44,16,1,33,115,-25,72
2,45,11,1,38,115,-25,72
2,46,26,1,48,115,-30,72
2,47,15,0,68,110,-30,72
2,48,13,1,73,115,-30,72
2,49,21,1,73,120,-45,72
2,50,43,1,73,120,-40,57
2,51,19,1,88,120,-40,57
2,52,2,1,93,120,-50,57
2,53,10,1,113,120,-60,57
2,54,22,1,113,125,-70,57
2,55,34,1,128,125,-70,57
