run,turn,card_id,choice,wealth,morale,stability,progress
5,55,10,1,50,250,-50,110
5,56,37,0,35,270,-50,110
5,57,8,1,20,270,-50,120
5,58,11,1,25,270,-50,120
5,59,41,1,30,260,-50,120
5,60,3,0,45,260,-55,120
5,61,7,0,30,270,-55,120
5,62,30,1,30,270,-45,120
5,63,9,1,35,270,-45,120
5,64,5,0,25,270,-40,120
5,65,17,0,5,290,-40,120
5,66,48,1,5,290,-40,120
5,67,21,0,-5,290,-20,120
5,68,22,1,-5,295,-30,120
5,69,27,0,5,285,-30,120
5,70,47,1,5,285,-30,120
5,71,38,1,10,285,-30,120
5,72,12,1,15,285,-30,120
5,73,49,0,15,280,-30,135
5,74,39,0,5,295,-30,135
5,75,18,0,-25,295,-30,165
5,76,50,1,-25,305,-30,165
5,77,34,0,-25,290,-5,165
5,78,25,1,-25,300,-5,165
5,79,35,1,-25,290,5,165
5,80,44,1,-20,290,5,165
5,81,28,1,-10,290,5,165
5,82,20,0,-20,290,20,165
5,83,40,1,-20,280,30,165
5,84,57,1,-20,290,30,165
5,85,48,1,-20,290,30,165
5,86,19,1,-20,290,30,165
5,87,1,0,-10,290,20,165
5,88,25,0,-10,285,20,165
5,89,6,1,-20,285,20,175
5,90,11,1,-15,285,20,175
5,91,43,1,-15,285,25,170
5,92,23,0,-25,285,25,180
5,93,37,1,-15,285,25,180
5,94,27,0,-5,275,25,180
5,95,20,0,-15,275,40,180
5,96,22,1,-15,280,30,180
5,97,23,1,-15,285,25,180
5,98,13,0,-15,285,25,200
5,99,30,1,-15,285,35,200
6,0,21,0,40,50,70,50
6,1,31,0,40,60,60,50
6,2,15,1,40,65,60,50
6,3,24,0,35,65,60,50
6,4,29,0,15,65,65,50
6,5,36,1,15,75,65,50
6,6,4,0,0,90,65,50
6,7,8,1,-15,90,65,60
6,8,19,0,-15,90,65,60
6,9,47,1,-15,90,65,60
6,10,5,0,-25,90,70,60
6,11,18,1,-15,90,70,60
6,12,27,1,-15,105,65,60
6,13,39,1,-10,105,65,60
6,14,46,0,-20,105,65,75
6,15,8,1,-35,105,65,85
6,16,48,0,-35,105,65,115
6,17,38,0,-45,115,65,115
6,18,41,0,-55,130,65,115
6,19,24,1,-50,130,65,115
6,20,3,0,-35,130,60,115
6,21,27,1,-35,145,55,115
6,22,29,1,-35,165,35,115
6,23,6,1,-45,165,35,125
6,24,13,0,-45,165,35,145
6,25,40,1,-45,155,45,145
6,26,10,1,-30,155,35,145
6,27,37,1,-20,155,35,145
6,28,39,0,-30,170,35,145
6,29,38,1,-25,170,35,145
6,30,21,0,-35,170,55,145
6,31,18,0,-65,170,55,175
6,32,5,1,-60,170,45,175
6,33,40,1,-60,160,55,175
6,34,4,1,-50,160,55,175
6,35,37,1,-40,160,55,175
6,36,45,0,-40,160,55,190
6,37,32,0,-40,180,40,190
6,38,11,1,-35,180,40,190
6,39,29,1,-35,200,20,190
6,40,41,1,-30,190,20,190
6,41,20,1,-30,200,5,190
6,42,7,1,-25,200,5,190
6,43,15,1,-25,205,5,190
6,44,12,1,-20,205,5,190
6,45,28,0,-40,205,5,205
6,46,17,0,-60,225,5,205
6,47,40,0,-60,235,-5,205
6,48,29,0,-80,235,0,205
6,49,45,0,-80,235,0,220
6,50,22,1,-80,240,-10,220
6,51,39,0,-90,255,-10,220
6,52,57,1,-90,265,-10,220
6,53,2,0,-100,265,10,220
6,54,9,0,-110,265,10,225
6,55,33,0,-80,265,10,225
6,56,7,0,-95,275,10,225
6,57,46,1,-90,275,10,225
6,58,37,1,-80,275,10,225
6,59,24,1,-75,275,10,225
6,60,44,1,-70,275,10,225
6,61,47,1,-70,275,10,225
6,62,22,0,-80,275,20,225
6,63,27,0,-70,265,20,225
6,64,1,1,-80,265,20,230
6,65,6,1,-90,265,20,240
6,66,30,0,-90,265,10,265
6,67,2,1,-85,265,0,265
6,68,4,0,-100,280,0,265
6,69,36,0,-100,275,0,280
6,70,39,0,-110,290,0,280
6,71,41,0,-120,305,0,280
6,72,43,0,-100,305,-10,280
6,73,46,1,-95,305,-10,280
6,74,11,0,-100,305,-10,280
6,75,25,0,-100,300,-10,280
6,76,40,0,-100,310,-20,280
6,77,9,0,-110,310,-20,285
6,78,43,0,-90,310,-30,285
6,79,36,0,-90,305,-30,300
