run,turn,card_id,choice,resources,moral,stability,progress
6,29,37,1,50,100,30,140
6,30,40,0,50,110,20,140
6,31,27,1,50,125,15,140
6,32,29,1,50,145,-5,140
6,33,3,1,40,145,-5,150
6,34,45,1,40,155,-5,150
6,35,19,1,40,155,-5,150
6,36,37,0,25,175,-5,150
6,37,13,1,30,180,-5,150
6,38,30,0,30,180,-15,175
6,39,47,0,30,180,-15,190
6,40,46,0,20,180,-15,205
6,41,44,0,20,180,-5,215
6,42,16,0,5,190,-5,215
6,43,45,1,5,200,-5,215
6,44,13,0,5,200,-5,235
6,45,5,0,-5,200,0,235
6,46,13,0,-5,200,0,255
6,47,21,0,-15,200,20,255
6,48,44,0,-15,200,30,265
6,49,3,1,-25,200,30,275
6,50,46,1,-20,200,30,275
6,51,46,1,-15,200,30,275
6,52,29,1,-15,220,10,275
6,53,28,0,-35,220,10,290
6,54,3,1,-45,220,10,300
6,55,36,1,-45,230,10,300
6,56,8,1,-60,230,10,310
6,57,37,0,-75,250,10,310
6,58,28,0,-95,250,10,325
6,59,24,1,-90,250,10,325
6,60,24,1,-85,250,10,325
6,61,29,1,-85,270,-10,325
6,62,30,0,-85,270,-20,350
6,63,25,1,-85,280,-20,350
6,64,41,0,-95,295,-20,350
6,65,6,0,-85,295,-25,350
6,66,28,1,-75,295,-25,350
6,67,7,1,-70,295,-25,350
6,68,39,1,-65,295,-25,350
6,69,9,0,-75,295,-25,355
6,70,44,1,-70,295,-25,355
6,71,30,1,-70,295,-15,355
6,72,22,1,-70,300,-25,355
6,73,6,1,-80,300,-25,365
6,74,17,0,-100,320,-25,365
6,75,23,1,-100,325,-30,365
6,76,39,0,-110,340,-30,365
6,77,26,0,-120,340,-30,375
6,78,10,1,-105,340,-40,375
6,79,7,0,-120,350,-40,375
6,80,10,0,-130,360,-40,375
6,81,21,0,-140,360,-20,375
6,82,39,1,-135,360,-20,375
6,83,3,0,-120,360,-25,375
6,84,28,1,-110,360,-25,375
6,85,4,0,-125,375,-25,375
6,86,48,1,-125,375,-25,375
6,87,18,1,-115,375,-25,375
6,88,6,1,-125,375,-25,385
6,89,24,0,-130,375,-25,385
6,90,29,0,-150,375,-20,385
6,91,10,1,-135,375,-30,385
6,92,5,1,-130,375,-40,385
6,93,2,1,-125,375,-50,385
6,94,4,0,-140,390,-50,385
6,95,27,1,-140,405,-55,385
6,96,28,0,-160,405,-55,400
6,97,5,1,-155,405,-65,400
6,98,1,1,-165,405,-65,405
6,99,6,0,-155,405,-70,405
7,0,4,1,60,50,50,50
7,1,39,0,50,65,50,50
7,2,2,1,55,65,40,50
7,3,41,1,60,55,40,50
7,4,9,1,65,55,40,50
7,5,22,0,55,55,50,50
7,6,24,0,50,55,50,50
7,7,20,1,50,65,35,50
7,8,5,1,55,65,25,50
7,9,28,1,65,65,25,50
7,10,40,1,65,55,35,50
7,11,13,0,65,55,35,70
7,12,4,0,50,70,35,70
7,13,13,1,55,75,35,70
7,14,40,1,55,65,45,70
7,15,11,0,50,65,45,70
7,16,7,0,35,75,45,70
7,17,14,1,35,85,45,70
7,18,12,1,40,85,45,70
7,19,39,1,45,85,45,70
7,20,40,0,45,95,35,70
7,21,15,1,45,100,35,70
7,22,47,0,45,100,35,85
7,23,16,0,30,110,35,85
7,24,8,0,30,115,25,85
7,25,43,1,30,115,30,80
7,26,8,1,15,115,30,90
7,27,4,1,25,115,30,90
7,28,19,1,25,115,30,90
7,29,23,1,25,120,25,90
7,30,14,1,25,130,25,90
7,31,19,0,25,130,25,90
7,32,25,0,25,125,25,90
7,33,44,0,25,125,35,100
7,34,16,0,10,135,35,100
7,35,1,1,0,135,35,105
7,36,47,0,0,135,35,120
7,37,40,1,0,125,45,120
7,38,18,0,-30,125,45,150
7,39,39,1,-25,125,45,150
7,40,46,0,-35,125,45,165
7,41,30,1,-35,125,55,165
7,42,18,1,-25,125,55,165
7,43,15,0,-10,120,55,165
7,44,19,0,-10,120,55,165
7,45,40,0,-10,130,45,165
7,46,48,1,-10,130,45,165
7,47,12,1,-5,130,45,165
7,48,41,1,0,120,45,165
7,49,45,0,0,120,45,180
7,50,25,0,0,115,45,180
7,51,19,0,0,115,45,180
7,52,25,0,0,110,45,180
7,53,21,1,5,110,35,180
7,54,28,1,15,110,35,180
7,55,8,1,0,110,35,190
7,56,4,1,10,110,35,190
7,57,22,1,10,115,25,190
7,58,41,1,15,105,25,190
7,59,16,1,15,105,15,190
7,60,47,1,15,105,15,190
7,61,2,0,5,105,35,190
7,62,9,0,-5,105,35,195
7,63,37,1,5,105,35,195
7,64,10,1,20,105,25,195
7,65,9,0,10,105,25,200
7,66,8,1,-5,105,25,210
7,67,7,0,-20,115,25,210
7,68,29,0,-40,115,30,210
7,69,20,1,-40,125,15,210
7,70,48,0,-40,125,15,240
7,71,29,1,-40,145,-5,240
7,72,13,1,-35,150,-5,240
7,73,26,1,-25,150,-10,240
7,74,9,1,-20,150,-10,240
7,75,38,1,-15,150,-10,240
7,76,18,0,-45,150,-10,270
7,77,5,1,-40,150,-20,270
7,78,23,1,-40,155,-25,270
7,79,42,0,-55,155,-25,285
7,80,8,1,-70,155,-25,295
7,81,36,1,-70,165,-25,295
7,82,42,0,-85,165,-25,310
7,83,22,1,-85,170,-35,310
7,84,20,0,-95,170,-20,310
7,85,25,0,-95,165,-20,310
7,86,6,0,-85,165,-25,310
7,87,27,1,-85,180,-30,310
7,88,7,1,-80,180,-30,310
7,89,40,0,-80,190,-40,310
7,90,5,0,-90,190,-35,310
7,91,28,0,-110,190,-35,325
7,92,3,1,-120,190,-35,335
7,93,12,1,-115,190,-35,335
7,94,6,1,-125,190,-35,345
7,95,23,1,-125,195,-40,345
7,96,25,0,-125,190,-40,345
7,97,40,1,-125,180,-30,345
7,98,26,0,-135,180,-30,355
7,99,28,1,-125,180,-30,355
8,0,21,0,40,50,70,50
8,1,13,0,40,50,70,70
8,2,6,1,30,50,70,80
8,3,41,0,20,65,70,80
8,4,15,1,20,70,70,80
8,5,8,0,20,75,60,80
8,6,44,0,20,75,70,90
8,7,40,0,20,85,60,90
8,8,47,1,20,85,60,90
8,9,3,1,10,85,60,100
8,10,5,1,15,85,50,100
