run,turn,card_id,choice,wealth,morale,stability,progress
2,87,38,0,-90,210,-40,420
2,88,48,0,-90,210,-40,450
2,89,27,0,-80,200,-40,450
2,90,43,0,-60,200,-50,450
2,91,8,0,-60,205,-60,450
2,92,11,1,-55,205,-60,450
2,93,6,1,-65,205,-60,460
2,94,21,1,-60,205,-70,460
2,95,10,1,-45,205,-80,460
2,96,14,1,-45,215,-80,460
2,97,24,0,-50,215,-80,460
2,98,3,1,-60,215,-80,470
2,99,60,0,-30,215,-80,470
3,0,2,1,55,50,40,50
3,1,26,1,65,50,35,50
3,2,36,1,65,60,35,50
3,3,38,0,55,70,35,50
3,4,15,0,70,65,35,50
3,5,4,1,80,65,35,50
3,6,41,0,70,80,35,50
3,7,39,0,60,95,35,50
3,8,9,0,50,95,35,55
3,9,29,1,50,115,15,55
3,10,16,1,50,115,5,55
3,11,3,0,65,115,0,55
3,12,26,0,55,115,0,65
3,13,36,1,55,125,0,65
3,14,9,1,60,125,0,65
3,15,29,0,40,125,5,65
3,16,44,1,45,125,5,65
3,17,40,1,45,115,15,65
3,18,48,0,45,115,15,95
3,19,22,1,45,120,5,95
3,20,31,1,45,120,15,95
3,21,25,0,45,115,15,95
3,22,43,0,65,115,5,95
3,23,24,1,70,115,5,95
3,24,16,0,55,125,5,95
3,25,47,1,55,125,5,95
3,26,9,0,45,125,5,100
3,27,28,1,55,125,5,100
3,28,46,0,45,125,5,115
3,29,32,0,45,145,-10,115
3,30,8,0,45,150,-20,115
3,31,24,0,40,150,-20,115
3,32,4,1,50,150,-20,115
3,33,36,0,50,145,-20,130
3,34,30,0,50,145,-30,155
3,35,33,1,50,160,-30,155
3,36,23,1,50,165,-35,155
3,37,1,0,60,165,-45,155
3,38,41,1,65,155,-45,155
3,39,9,0,55,155,-45,160
3,40,13,1,60,160,-45,160
3,41,25,1,60,170,-45,160
3,42,15,1,60,175,-45,160
3,43,28,0,40,175,-45,175
3,44,36,0,40,170,-45,190
3,45,19,0,40,170,-45,190
3,46,45,0,40,170,-45,205
3,47,57,0,40,170,-45,230
3,48,38,1,45,170,-45,230
3,49,37,0,30,190,-45,230
3,50,19,0,30,190,-45,230
3,51,21,1,35,190,-55,230
3,52,27,0,45,180,-55,230
3,53,3,0,60,180,-60,230
3,54,4,1,70,180,-60,230
3,55,40,1,70,170,-50,230
3,56,1,1,60,170,-50,235
3,57,16,0,45,180,-50,235
3,58,48,1,45,180,-50,235
3,59,18,1,55,180,-50,235
3,60,19,1,55,180,-50,235
3,61,24,0,50,180,-50,235
3,62,22,1,50,185,-60,235
3,63,1,0,60,185,-70,235
3,64,26,0,50,185,-70,245
3,65,46,0,40,185,-70,260
3,66,21,1,45,185,-80,260
3,67,37,0,30,205,-80,260
3,68,1,0,40,205,-90,260
3,69,47,0,40,205,-90,275
3,70,2,0,30,205,-70,275
3,71,28,0,10,205,-70,290
3,72,25,1,10,215,-70,290
3,73,45,0,10,215,-70,305
3,74,16,0,-5,225,-70,305
3,75,24,1,0,225,-70,305
3,76,36,0,0,220,-70,320
3,77,13,0,0,220,-70,340
3,78,34,0,0,205,-45,340
3,79,23,0,-10,205,-45,350
3,80,48,1,-10,205,-45,350
3,81,42,1,-10,210,-45,350
3,82,13,1,-5,215,-45,350
